ticker,Cluster,roe,debt_to_equity,profit_margins,beta,market_cap,net_income,total_equity,total_debt,scaled_roe,scaled_debt_to_equity,mercado,k
VIVT3.SA,3,0.08485,29.855,0.101169996,0.353,106785497088,5547948000.0,69799495000.0,55141178000.0,0.19357344344057886,0.06312658600856895,BR,6
SBSP3.SA,4,0.3091,77.35,0.27754998,0.157,87202193408,9579563000.0,36928054000.0,44037376000.0,0.6519561751359305,0.16381494287719175,BR,6
FLRY3.SA,3,0.10706,98.057,0.077309996,0.329,8720247808,616172000.0,5374831000.0,7687579000.0,0.2389722415273292,0.20771332808992096,BR,6
GOAU4.SA,3,0.059580002,35.379,0.01629,0.861,9957948416,1544820000.0,58253714000.0,28694815000.0,0.14191979477535668,0.07483734468510905,BR,6
CPLE6.SA,3,0.100839995,79.087,0.12751001,0.385,36571209728,2809631000.0,25636935000.0,31747221000.0,0.22625811495850537,0.1674973447275086,BR,6
ENGI11.SA,0,0.20562,171.108,0.09726,0.327,22856523776,3789678000.0,22143222000.0,55038431000.0,0.4404357957565103,0.36257984367281954,BR,6
SANB11.SA,1,0.13873,77.35,0.29272,0.426,136089747456,13365506000.0,119827132000.0,1118969678000.0,0.30370794325661254,0.16381494287719175,BR,6
BPAC11.SA,1,0.20341,77.35,0.33132,0.524,159752159232,11789387000.0,63533870000.0,583307936000.0,0.4359184007195127,0.16381494287719175,BR,6
CXSE3.SA,4,0.33316,0.078,0.76524,0.352,45209997312,3765184000.0,12889324000.0,1134692000.0,0.701136503004783,0.0,BR,6
ASAI3.SA,2,0.17687,471.781,0.01209,0.41,12185629696,769000000.0,5255000000.0,40338000000.0,0.3816687788724909,1.0,BR,6
AAPL,2,1.49814,154.486,0.24295999,1.094,3829117222912,93736000000.0,56950000000.0,308030000000.0,0.7624033525357473,0.2524565487792255,USA,4
MSFT,0,0.33280998,32.661,0.36146,1.023,3845548408832,101832000000.0,343479000000.0,275524000000.0,0.13512974884564552,0.038731103302240145,USA,4
GOOGL,0,0.34829,11.481,0.31118,1.0,2971275624448,100118000000.0,325084000000.0,125172000000.0,0.14346233083009904,0.0015736648848172045,USA,4
AMZN,0,0.2477,47.808,0.105399996,1.281,2341054709760,59248000000.0,285970000000.0,338924000000.0,0.08931676630135948,0.06530446117328384,USA,4
NVDA,2,1.09417,10.584,0.52414,2.123,4567983980544,72880000000.0,79327000000.0,32274000000.0,0.5449544639516445,0.0,USA,4
TSLA,0,0.08177,16.823,0.063439995,2.086,1429249589248,7130000000.0,73680000000.0,48390000000.0,0.0,0.010945479616916987,USA,4
META,0,0.40647998,25.406,0.39992002,1.203,1785027362816,62360000000.0,182637000000.0,93417000000.0,0.1747848213064492,0.02600318943451571,USA,4
BRK-B,0,0.099139996,18.95,0.16997999,0.77,1076361297920,88995000000.0,651655000000.0,502226000000.0,0.009349917877343156,0.014677012738440055,USA,4
